Serie,i,j,V,E,TimeBinomial,TimeFibonacci,OpsBinomial,OpsFibonacci,Valid
Serie A,12,12,4096,4096,0.121660,0.041466,12288,12288,YES
Serie A,12,13,4096,8192,0.183394,0.056302,14865,14865,YES
Serie A,12,14,4096,16384,0.173843,0.056797,17624,17624,YES
Serie B,10,14,1024,16384,0.022529,0.022124,5834,5834,YES
Serie B,11,14,2048,16384,0.052610,0.033491,10236,10236,YES
Serie B,12,14,4096,16384,0.181314,0.058010,17610,17610,YES
Serie B,13,14,8192,16384,0.683967,0.103806,29710,29710,YES
Serie B,14,14,16384,16384,2.036249,0.184913,49152,49152,YES
Serie C,10,10,1024,1024,0.011220,0.009632,3071,3071,YES
Serie C,10,11,1024,2048,0.014987,0.011967,3706,3706,YES
Serie C,10,12,1024,4096,0.014565,0.014014,4449,4449,YES
Serie D,8,12,256,4096,0.004930,0.005316,1448,1448,YES
Serie D,9,12,512,4096,0.007557,0.007978,2575,2575,YES
Serie D,10,12,1024,4096,0.014747,0.013879,4388,4388,YES
Serie D,11,12,2048,4096,0.045481,0.022987,7421,7421,YES
Serie D,12,12,4096,4096,0.125917,0.047437,12288,12288,YES
